detid,flow
-186623965#14,29
-186623965#16,10
-22917421#14,20
-23283579#0,17
-23283579#1,17
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,8
-28675510#5,8
-297047307,59
-297047310#2,28
-297047310#3,28
-309744810#1,7
-4936412,47
-8716807#0,18
-8716807#4,18
-8716807#5,18
133081985#0,30
133081985#1,30
133081987#0,47
133081987#3,54
186623965#15,0
22917421#5,8
22959550#0,25
22959550#1,7
22959550#3,7
22959550#4,7
23283435#1,17
23647126,18
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,65
28675510#1,80
28675510#4,20
297047310#4,6
